,objectid,nuts218cd,nuts218nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape,index,male_take,male_pass,female_take,female_pass,take,pass,Unnamed: 0,male_r,female_r,r
0,1,UKC1,Tees Valley and Durham,414643,532242,-1.7744,54.68502045,3026248695.3912,487438.014516899,111458.0,153965.0,85108.0,171657.0,84363.0,325645.0,169479.0,32470306.0,0.5527749813269249,0.49146262605078733,0.5204409709960233
1,2,UKC2,Northumberland and Tyne and Wear,398898,602530,-2.01891994,55.31684113,5566180592.2354,751311.485118967,230555.0,199658.0,102357.0,220914.0,97412.0,420625.0,199790.0,135955094.0,0.5126616514239349,0.4409498718958509,0.47498365527488856
2,3,UKD1,Cumbria,341868,527389,-2.90217996,54.63825989,6822195397.47302,987066.701024335,92956.0,39595.0,23864.0,42764.0,22868.0,82363.0,46733.0,29697269.0,0.6027023614092688,0.53474885417641,0.5674028386532788
3,4,UKD3,Greater Manchester,377940,401102,-2.33406997,53.50614929,1275981132.61494,248705.119145425,161847.0,217842.0,109891.0,237220.0,101984.0,455103.0,211887.0,86596776.0,0.5044527685203037,0.4299131607790237,0.4655803191804932
4,5,UKD4,Lancashire,363669,441026,-2.55392003,53.86418152,3076412675.68591,795004.920936437,165238.0,217902.0,116229.0,237225.0,107151.0,455217.0,223421.0,79617615.0,0.5334003359308312,0.45168510907366427,0.49080109046894116
5,6,UKD6,Cheshire,368759,368676,-2.46926999,53.21422958,2263685924.537,447143.875034248,171596.0,119605.0,63851.0,132749.0,63163.0,252368.0,127018.0,58236088.0,0.5338489193595586,0.4758077273651779,0.5033046979014772
6,7,UKD7,Merseyside,344324,390164,-2.83892989,53.40534973,725815779.904039,320423.710321294,233610.0,159992.0,76765.0,172125.0,74616.0,332146.0,151390.0,51735773.0,0.4798052402620131,0.43349891067538127,0.4557935365772883
7,8,UKE1,East Yorkshire and Northern Lincolnshire,488051,443608,-0.66202998,53.88122177,3516101364.30054,789854.635044849,76817.0,57578.0,29410.0,63460.0,27587.0,121041.0,56998.0,24950260.0,0.5107853694119282,0.43471478096438704,0.47089829066184186
8,9,UKE2,North Yorkshire,429509,466515,-1.55032003,54.09371185,8312199109.21811,815031.281811477,292876.0,84512.0,49197.0,92419.0,46700.0,176948.0,95900.0,50945021.0,0.5821303483528967,0.5053073502201928,0.5419671315866809
9,10,UKE3,South Yorkshire,441052,398663,-1.38284004,53.48310852,1551563988.62653,287863.880564502,132275.0,171055.0,86626.0,189892.0,81948.0,360966.0,168576.0,83524346.0,0.5064219110812311,0.4315505655846481,0.467013513738136
10,11,UKE4,West Yorkshire,418686,427238,-1.71817005,53.74119949,2029258659.51852,282889.559459654,326270.0,395516.0,182564.0,454897.0,169403.0,850447.0,351980.0,91475048.0,0.46158436068325936,0.3723985869328661,0.4138764673165994
11,12,UKF1,Derbyshire and Nottinghamshire,449616,357965,-1.26014996,53.11658096,4788118204.26752,583361.508183236,227053.0,214187.0,115785.0,237755.0,111537.0,451954.0,227325.0,140208762.0,0.5405790267383175,0.46912578074067846,0.5029826044243441
12,13,UKF2,"Leicestershire, Rutland and Northamptonshire",470025,284901,-0.97086,52.4575882,4917868075.68212,513347.60658528,275457.0,269821.0,135745.0,300273.0,127462.0,570110.0,263213.0,120092704.0,0.5030927911467232,0.4244870501177262,0.46168809527985827
13,14,UKF3,Lincolnshire,517985,358543,-0.23882,53.11104965,5937285891.33252,726095.333466265,159281.0,90028.0,50963.0,99114.0,49389.0,189153.0,100357.0,92161989.0,0.5660794419513929,0.49830498214177615,0.5305599171041432
14,15,UKG1,"Herefordshire, Worcestershire and Warwickshire",390692,262189,-2.13776994,52.25780106,5897746311.69804,810085.07132143,316337.0,239025.0,121436.0,259799.0,114829.0,498833.0,236270.0,61333344.0,0.5080472753896036,0.4419916935784972,0.4736454885703231
15,16,UKG2,Shropshire and Staffordshire,376573,318829,-2.34863997,52.7665596,6204351807.81584,707722.485476766,389061.0,196432.0,104520.0,217097.0,101814.0,413541.0,206338.0,55979405.0,0.5320925307485542,0.46897930418200157,0.49895415448528685
16,17,UKG3,West Midlands,402507,289715,-1.96448004,52.50534058,901639657.391459,256429.939276249,194091.0,461077.0,206231.0,512410.0,183059.0,973507.0,389299.0,27837291.0,0.44728103982631967,0.357251029449074,0.39989337518887896
17,18,UKH1,East Anglia,602130,288929,0.97383302,52.46089935,12579842011.0058,1672652.62106972,176969.0,225320.0,120321.0,245054.0,115013.0,470387.0,235340.0,93807240.0,0.5340005325758921,0.4693373705387384,0.5003114456819597
18,19,UKH2,Bedfordshire and Hertfordshire,518883,226203,-0.27267,51.92166901,2878491023.65999,375041.435911223,311859.0,315216.0,152165.0,340168.0,142134.0,655411.0,294308.0,110939779.0,0.4827324755088574,0.4178347169633828,0.4490434246602514
19,20,UKH3,Essex,569523,210837,0.45554799,51.77053833,3677230144.77813,1161270.69225756,182303.0,244117.0,110399.0,263948.0,105377.0,508075.0,215779.0,66087508.0,0.45223806617318746,0.3992339400184885,0.4246991093834572
20,21,UKI3,Inner London - West,527495,181567,-0.16383,51.51863861,108965038.756453,90662.5098811205,,,,,,,,,,,
21,22,UKI4,Inner London - East,536648,185058,-0.03064,51.54787064,210313249.749574,145499.705335915,62743.0,89938.0,41441.0,96709.0,36808.0,186651.0,78251.0,26835606.0,0.46077297693966957,0.38060573472996306,0.4192369716744084
22,23,UKI5,Outer London - East and North East,546334,189866,0.11095,51.58864975,433795190.869532,200875.226384628,143558.0,322141.0,135374.0,322811.0,113543.0,644960.0,248920.0,58398615.0,0.420232134375941,0.35173212808733284,0.38594641528156787
23,24,UKI6,Outer London - South,535861,164755,-0.04977,51.36560822,355362186.490038,147196.224461924,137462.0,160527.0,79102.0,172678.0,72621.0,333213.0,151726.0,29917259.0,0.49276445706952726,0.4205573379353479,0.4553423785986741
24,25,UKI7,Outer London - West and North West,516574,184076,-0.32032999,51.54354858,465073860.393531,172797.900048208,199449.0,306485.0,143259.0,303587.0,119837.0,610086.0,263100.0,69680406.0,0.46742581202995254,0.39473692878812333,0.4312506761341844
25,26,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",462576,202253,-1.09561002,51.71551895,5743410016.58297,583810.667636087,235687.0,371892.0,191940.0,400612.0,184144.0,772529.0,376094.0,157145639.0,0.5161175825239586,0.45965672521042805,0.4868347984347513
26,27,UKJ2,"Surrey, East and West Sussex",527932,133940,-0.17460001,51.09051132,5456421431.8312,810659.350703227,167837.0,263234.0,135668.0,279050.0,129537.0,542298.0,265207.0,114087433.0,0.5153893494001535,0.4642071313384698,0.48904292473879674
27,28,UKJ3,Hampshire and Isle of Wight,445931,135667,-1.34512997,51.11845016,4149328260.02821,933728.180270169,327031.0,302812.0,158436.0,322244.0,150202.0,625077.0,308650.0,151504610.0,0.5232157246080076,0.4661126351460384,0.4937791664066987
28,29,UKJ4,Kent,590108,148050,0.71976799,51.20001984,3739595841.22083,765175.518449903,191918.0,161414.0,84965.0,179157.0,83098.0,340576.0,168064.0,45660363.0,0.5263793722973225,0.46382781582634225,0.49346988631025085
29,30,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",383347,180249,-2.2414,51.52090073,7470872977.5441,870055.521658157,301861.0,304637.0,159226.0,325844.0,153383.0,630500.0,312621.0,63746011.0,0.5226745273883343,0.4707252550300144,0.4958302934179223
30,31,UKK2,Dorset and Somerset,362838,113805,-2.53008008,50.92248917,6104774915.13943,920409.318583002,91998.0,121459.0,71415.0,134299.0,71372.0,255763.0,142791.0,14901887.0,0.5879761894960439,0.5314410382802552,0.5582942020542455
31,32,UKK3,Cornwall and Isles of Scilly,212501,64494,-4.64248991,50.45022964,3565838438.58513,1315272.04300089,101554.0,54656.0,28820.0,58265.0,28075.0,112931.0,56902.0,52658774.0,0.5272980093676815,0.4818501673388827,0.503865192019906
32,33,UKK4,Devon,283141,93082,-3.65701008,50.72555923,6709883385.135,1109377.96907768,116541.0,140798.0,73572.0,155566.0,71702.0,296378.0,145279.0,49919858.0,0.5225358314748789,0.4609104817247985,0.49018145746310454
33,34,UKL1,West Wales,236647,236819,-4.38130999,52.0057106,13131269057.0522,2846300.22076963,407091.0,222223.0,123648.0,244021.0,120554.0,466253.0,244206.0,224482158.0,0.5564140525508161,0.49403125140869025,0.5237628497832721
34,35,UKL2,East Wales,312334,277025,-3.28945994,52.38422012,7650860888.03588,1309673.9504629,235990.0,126761.0,70836.0,136558.0,68650.0,263331.0,139491.0,114301805.0,0.558815408524704,0.5027167943291495,0.5297173519259032
35,36,UKM5,North Eastern Scotland,360864,814981,-2.64976001,57.22386932,6503696630.86615,779348.600824928,143885.0,51660.0,30316.0,57269.0,29397.0,109237.0,59880.0,1050338.0,0.5868370112272552,0.5133143585534932,0.5481659144795261
36,37,UKM6,Highlands and Islands,251287,833327,-4.47424984,57.36603165,41047036047.5769,16647691.1615397,778987.0,50643.0,29612.0,53988.0,28742.0,104644.0,58391.0,363639818.0,0.5847204944414826,0.5323775653849003,0.557996636214212
37,38,UKM7,Eastern Scotland,300521,733779,-3.61698008,56.48554993,13390052053.9503,1386845.15753573,374511.0,165478.0,89226.0,186213.0,89159.0,351726.0,178401.0,192170906.0,0.5392015857092786,0.4788011578139013,0.5072158441514133
38,39,UKM8,West Central Scotland,235646,684791,-4.63895988,56.02772903,1977512735.48752,604971.140025295,198138.0,273558.0,124251.0,295315.0,119201.0,568985.0,243491.0,130236305.0,0.4542034961507249,0.40364018082386605,0.42793922511138255
39,40,UKM9,Southern Scotland,291849,601430,-3.7047801,55.2950592,15884941902.6313,1562392.36799451,433426.0,105552.0,55248.0,124519.0,57157.0,230091.0,112418.0,160913267.0,0.5234197362437472,0.45902231787919917,0.48858060506495254
40,41,UKN0,Northern Ireland,86601,535325,-6.85481024,54.61494064,14333431706.5787,1131177.09054888,,,,,,,,,,,
